x;y;z
-1.875644;-0.07483354;2.437483
-1.873358;-0.07420683;2.442697
-1.869699;-0.07385525;2.43912
-1.885076;-0.07516906;2.443053
-1.859294;-0.07304031;2.441477
-1.839319;-0.07131588;2.435177
-1.843177;-0.07170683;2.440309
-1.846649;-0.07204741;2.444167
-1.847279;-0.07200211;2.437623
-1.840943;-0.0714083;2.43245
-1.840392;-0.07160321;2.428945
-1.847453;-0.07636133;2.430676
-1.850191;-0.07797229;2.431345
-1.853128;-0.07785338;2.432055
-1.854831;-0.07533884;2.432454
-1.856351;-0.07391602;2.432815
-1.857719;-0.07342914;2.433143
-1.860836;-0.07311574;2.438057
-1.852369;-0.0729211;2.431847
-1.851077;-0.0752278;2.431546
-1.84646;-0.07664403;2.430437
-1.844167;-0.0757651;2.429878
-1.842911;-0.07525811;2.429572
-1.842337;-0.07504141;2.429432
-1.841666;-0.07505271;2.429271
-1.840742;-0.07644194;2.429054
-1.839598;-0.07625678;2.428777
-1.84492;-0.07608056;2.430062
-1.847057;-0.07225654;2.43056
-1.853086;-0.07243291;2.434689
-1.857828;-0.0728606;2.437418
-1.859623;-0.0729917;2.436369
-1.871413;-0.07418284;2.451814
-1.879726;-0.07490155;2.45451
-1.904183;-0.07695082;2.458031
-1.904881;-0.07693091;2.452832
-1.895338;-0.07603011;2.444617
-1.892626;-0.07591313;2.441593
-1.894625;-0.07747588;2.442084
-1.896982;-0.07698566;2.442652
-1.903319;-0.07676518;2.450246
-1.904346;-0.07685408;2.450587
-1.909491;-0.0773086;2.452913
-1.913904;-0.07768872;2.454242
-1.908013;-0.07708696;2.446085
-1.907338;-0.07852075;2.445163
-1.907007;-0.07866332;2.445083
-1.884601;-0.07509083;2.440386
-1.883939;-0.07506937;2.44259
-1.887719;-0.07550931;2.451466
-1.898921;-0.0766263;2.465154
-1.929209;-0.07970089;2.505818
-2.677101;-0.3858553;3.691141
-2.689702;-0.39494;3.740704
-2.073055;-0.09557039;2.784689
-2.001141;-0.06897579;2.68385
-1.941135;-0.08289236;2.655827
-1.905329;-0.07942854;2.619311
-1.902242;-0.07937643;2.632843
-1.904979;-0.07972811;2.641515
-1.897777;-0.07872984;2.613766
-1.93764;-0.08277911;2.66747
-1.86706;-0.07480508;2.51796
-1.86706;-0.07480508;2.51796
-1.86706;-0.07480508;2.51796
-1.86706;-0.07480508;2.51796
-1.86706;-0.07480508;2.51796
-1.86706;-0.07480508;2.51796
-1.669064;-0.5210287;2.3889
-1.66595;-0.521051;2.392229
